개봉연도,영화 제목,별점
1916,링크,5.4
1916,전당포,7.5
1919,양지,7.4
1921,족장,6.2
1922,북극의 나누크,7.6
1923,안전불감증,8.1
1925,벤허,7.8
1926,족장의 아들,6.6
1927,나폴레옹,8.2
1928,재즈 싱어,6.4
1928,스피디,7.6
1928,샴페인,5.5
1928,농부의 아내,5.8
1931,스킨 게임,5.7
1931,공공의 적,7.6
1931,리치 앤 스트레인지,5.7
1932,그랜드 호텔,7.3
1935,바운티호의 반란,7.6
1935,39 계단,7.6
1937,사보타주,7
1937,대지,7.5
1937,굿바이 마이 라이프,7.9
1937,잃어버린 지평선,7.6
1937,위대한 환상,8.1
1938,사라진 여인,7.7
1939,게임의 규칙,7.9
1939,모호크족의 북소리,7
1939,스미스씨 워싱턴에 가다,8.1
1939,소공녀,7.1
1939,인터멧조,6.6
1939,Pygmalion,7.7
1940,애수,7.7
1940,바그다드의 도둑,7.4
1940,레베카,8.1
1940,필라델피아 스토리,7.9
1940,해외 특파원,7.4
1941,북위 49도선,7.3
1941,울프 선장,7.5
1941,해밀턴 부인,7.2
1942,마음의 행로,7.9
1942,파괴 공작원,7.1
1942,정글북,6.7
1943,직업 군인 캔디씨 이야기,8
1943,비밀 첩보원,6.1
1943,의혹의 그림자,7.8
1944,구명 보트,7.6
1944,헨리 5세,7
1944,이중 배상,8.3
1944,가스등,7.8
1944,The Purple Heart,6.5
1945,그들은 희생양이다,7.2
1945,스펠바운드,7.5
1945,시저와 클레오파트라,6.2
1945,즐거운 영혼,7
1945,밀회,8
1945,밀드레드 피어스,7.9
1946,위대한 유산,7.8
1946,살인자들,7.7
1946,명탐정 필립,7.9
1946,백주의 결투,6.7
1946,내일은 영원히,7.3
1946,포스트맨은 벨을 두 번 울린다,7.4
1947,신사협정,7.2
1947,주교의 부인,7.6
1947,패러다인 부인의 재판,6.5
1947,검은 수선화,7.7
1947,다크 패시지,7.5
1947,정복되지 않는 사람들,6.8
1948,흔들리는 대지,7.8
1948,분홍신,8.1
1948,시에라 마드레의 황금,8.2
1948,카르멘의 사랑,6.1
1948,안나 카레니나,6.6
1948,아파치 요새,7.4
1949,배틀그라운드,7.4
1949,황색 리본을 한 여자,7.2
1949,제3의 사나이,8.1
1950,펠리니의 청춘군상,7.1
1950,리오 그란데,7
1950,고독한 영혼,7.9
1951,크리스마스 캐롤,8.1
1951,파리의 미국인,7.2
1951,Rawhide,7.1
1951,형사 이야기,7.5
1951,젊은이의 양지,7.7
1951,사막의 여우,6.9
1951,Fixed Bayonets!,6.9
1951,존 웨인의 진주만,6.6
1951,열차 안의 낯선 자들,7.9
1951,괴물 디 오리지널,7.1
1952,하이 눈,8
1952,금지된 장난,8
1952,말 없는 사나이,7.7
1952,비잉 어니스트,7.5
1952,이키루,8.3
1952,혁명아 자파타,7.3
1952,돈 보더 투 노크,6.9
1952,물랑 루즈,7
1953,모감보,6.6
1953,줄리어스 시저,7.2
1953,제17 포로수용소,8
1953,잔인한 바다,7.4
1953,로마의 휴일,8
1953,타이타닉의 최후,7
1953,빅 히트,7.9
1954,길,8
1954,해저 2만리,7.2
1954,맨발의 백작부인,6.9
1954,글렌 밀러 스토리,7.3
1954,동물 농장,7.2
1954,여름의 폭풍,7.4
1954,이창,8.5
1954,베라 크루스,7
1954,7인의 신부,7.3
1954,하이 앤 마이티,6.7
1955,피크닉,7
1955,댐 버스터,7.4
1955,여자 친구들,7.2
1955,키스 미 데들리,7.5
1955,해리의 소동,7
1955,사냥꾼의 밤,8
1956,킬링,7.9
1956,철도원,7.7
1956,목로주점,7.4
1956,아나스타샤,7
1956,신체 강탈자의 침입,7.7
1956,공격,7.4
1956,회색 양복을 입은 사나이,7.1
1956,알렉산더 대왕,5.8
1956,바람에 쓴 편지,7.4
1957,사요나라,7
1957,전송가,6.3
1957,결단의 3시 10분,7.6
1957,멘 인 워,7.1
1957,12명의 성난 사람들,9
1957,영광의 길,8.4
1957,검찰 측 증인,8.4
1957,하오의 연정,7.1
1958,괴인 드라큐라,7.2
1958,나는 살고 싶다,7.5
1958,애수의 여로,7.4
1958,거대한 서부,7.9
1958,덩케르크 디 오리지널,7.1
1958,Les Misérables,7.4
1959,인간의 조건 2,8.5
1959,풀밭 위의 오찬,6.5
1959,그날이 오면,7.1
1959,리오 브라보,8
1959,필로우 토크,7.4
1959,인간의 조건,8.5
1959,폭찹 고지전투,7.1
1959,인도의 열정,7.1
1959,뜨거운 것이 좋아,8.2
1960,영광의 탈출,6.7
1960,오르페의 유언,7.2
1960,코르들리에 박사의 유언,6.7
1960,태양은 가득히,7.7
1960,사랑을 합시다,6.4
1960,알라모,6.8
1960,황야의 7인,7.7
1960,어셔가의 몰락,6.9
1960,Never on Sunday,7.3
1961,아이들의 시간,7.8
1961,인간의 조건 3,8.8
1961,엘 시드,7.2
1961,요짐보,8.2
1961,티파니에서 아침을,7.6
1961,이수,7
1961,웨스트 사이드 스토리,7.6
1961,롤라,7.5
1961,애꾸눈 잭,7.1
1961,기인들,7.2
1961,나바론 요새,7.5
1962,하오의 결투,7.4
1962,이반의 어린 시절,8
1962,007 살인 번호,7.2
1962,5시부터 7시까지의 클레오,7.9
1962,앵무새 죽이기,8.3
1962,지상 최대의 작전,7.7
1962,영혼의 카니발,7
1962,하타리,7.1
1962,물속의 칼,7.4
1962,비브르 사 비,7.8
1962,300 스파르탄,6.5
1963,대탈주,8.2
1963,북경의 55일,6.7
1963,겨울 빛,8
1963,사랑과 경멸,7.5
1963,샤레이드,7.9
1964,로마 제국의 멸망,6.7
1964,쉘부르의 우산,7.8
1964,어느 하녀의 일기,7.4
1965,여명의 혈투,5.8
1965,미치광이 삐에로,7.4
1965,링고의 귀환,6.7
1965,총잡이 링고,6.5
1965,행복,7.6
1966,석양의 무법자,8.8
1966,알제리 전투,8.1
1966,페르소나,8.1
1966,비밀첩보원 퀼러,6.3
1967,로슈포르의 숙녀들,7.7
1967,치맛바람,5.8
1967,대괴수 갓파,4.4
1967,플레이타임,7.8
1967,25시,7.4
1967,말괄량이 길들이기,7.1
1967,졸업,8
1968,독수리 요새,7.6
1968,올리버,7.4
1968,황야의 혈투,5.4
1969,제트,8.2
1969,돈을 갖고 튀어라,7.2
1969,소,7.9
1970,당나귀 공주,7
1970,암흑가의 세 사람,7.9
1970,케스,7.9
1970,작은 거인,7.5
1970,무림풍운,6.3
1971,만전천심,6.6
1971,도불류인,6.3
1971,고질라 대 헤도라,6.1
1971,탈명금검,6.4
1971,석양의 갱들,7.6
1971,당산대형,8
1972,안토니우스와 클레오파트라,5.8
1972,솔라리스,8
1972,맹룡과강,7.2
1972,아들을 동반한 검객 2,7.9
1972,금선풍,6.4
1972,정무문,7.2
1972,"아귀레, 신의 분노",7.8
1972,흑연비수,6.8
1972,독비권왕,6.8
1972,철삼각,5.8
1973,도병부,5.8
1973,아마코드,7.9
1973,중국철인,6.5
1973,삼총사,7.1
1973,흑권,6.3
1973,슬픔의 벨라돈나,7.3
1973,폴리스맨,4.5
1973,철왜,5.9
1973,눈이라 불리는 사나이,5.7
1973,존 웨인의 US 마샬,6.4
1974,영 프랑켄슈타인,8
1974,라콤 루시앙,7.6
1974,소림오조,6.6
1974,데스 위시,6.9
1974,벤지,6.1
1974,악호촌,5.8
1974,골드,5.7
1974,대차부,6.2
1974,파계,6.2
1974,칠성권왕,6
1974,황비홍소림권,6.1
1975,직도황룡 : 스카이 하이,6.6
1975,미인,5.2
1975,거울,8
1975,메카고질라의 역습,6.1
1976,진짜 진짜 잊지마,6.4
1976,화소소림사,6.4
1976,소림사 18동인,6.3
1976,유성호접검,6.8
1976,제녀화,6.4
1976,록키,8.1
1976,신정무문,5.5
1976,네트워크,8.1
1976,감각의 제국,6.6
1976,분노의 13번가,7.3
1976,독수리 착륙하다,6.9
1976,미래 세계의 음모,5.7
1976,라스트 콘서트,6.4
1976,성룡의 소림용호문,6.1
1976,북소림 : 북지호,5.9
1976,진짜 진짜 미안해,4.9
1976,소림목인항,6.4
1976,매드 독 모건,6.1
1977,7인의 쿵푸 마스터,7
1977,면몽심정,5.4
1977,설국,7.1
1977,카프리콘 프로젝트,6.8
1977,발전한,5.8
1977,라스트 부르맨,6.3
1977,사대문파,6.7
1977,미지와의 조우,7.6
1977,올카,5.7
1977,"노래하는 여자, 노래하지 않는 여자",7.4
1977,캘리포니아,6.7
1977,장군 맥아더,6.5
1978,대살성여소매두,5.4
1978,토마토 공격대,4.6
1978,지옥의 특전대,6.8
1978,비도권운산,5.6
1978,브라질에서 온 소년,7
1978,라스트 왈츠,8.1
1978,디어헌터,8.1
1978,외계의 침입자,7.4
1978,시체들의 새벽,7.8
1978,취권,7.5
1978,노호전계,6.2
1978,진짜 진짜 좋아해,6.9
1978,남소림 북소림,6.9
1978,당신만을 사랑해,7.5
1978,흙,7.7
1978,사망유희,6.1
1978,불의 여인,6.4
1978,투 워리어스,7.2
1979,은하철도 999,7.4
1979,빨간머리 앤: 그린게이블로 가는 길,7.2
1979,잡가소수,7.2
1979,오조십팔번,6.3
1979,상하이의 대형,6.7
1979,호협,7
1979,서부 전선 이상 없다,7.1
1979,소나기,7.1
1979,크레이머 대 크레이머,7.8
1979,아테네 탈출,5.6
1979,소권괴초,6.6
1979,소림사-인자무적,7.2
1979,주선십팔질,5.7
1979,장마,7
1979,테스,7.3
1979,사부출마,5.2
1979,양철북,7.5
1980,인페르노,6.5
1980,파괴자 모랜트,7.8
1980,내 미국 삼촌,7.6
1980,귀타귀,7
1980,사제출마,7.1
1980,악야,5
1980,사람의 아들,6.4
1981,차타레 부인의 사랑,5.1
1981,빙점 '81,6.4
1981,디바,7.2
1981,용자무구,7.2
1981,이웃집 여인,7.2
1981,사망탑의 결전,5.1
1981,이블 데드,7.4
1981,패가자,7.3
1981,귀마지다성,6.1
1981,변연인,6.9
1981,"안녕, 은하철도 999: 안드로메다 종착역",7
1981,캐논볼,6.2
1981,아가씨 참으세요,3.6
1981,묘두응 : 천면 부엉이,7
1981,래그타임,7.3
1982,용소야,6.3
1982,기문둔갑,7
1982,제방소수,6.6
1982,용지인자,7.2
1982,메가포스군단,3.6
1982,생사결,6.4
1982,비스트마스터,6.2
1982,Z 특공대,5.4
1982,이티,7.9
1982,코미디의 왕,7.8
1982,위대한 피츠카랄도,8
1982,화니와 알렉산더,8.1
1982,순성마,6
1982,최가박당,6.6
1982,마틴 기어의 귀향,7.4
1982,화이어폭스,5.9
1982,아벤고 공수군단,7
1982,도심 속의 방,6.8
1983,촉산,6.6
1983,프로젝트 A,7.3
1983,영웅문,5.9
1983,약속한 여자,6.5
1983,나쁜 버릇,6.5
1983,음양착,6.6
1983,로드 투 차이나,6
1983,아애야래향,6.5
1983,아웃사이더,7
1983,해탄적일천,7.6
1983,오복성,6.6
1983,파우,6.7
1983,추귀칠웅,4.9
1984,수리세,7.1
1984,군자호구,5.6
1984,등대여명,6.7
1984,쌍용출해 : 두 명의 기사,6.1
1984,다정종,5
1984,전가복,6.7
1984,개심귀,6.1
1984,고스트 버스터즈,7.8
1984,장례식,7.2
1984,나이트메어,7.4
1984,블러드 심플,7.6
1984,쾌찬차,7
1984,리오의 연정,5.8
1984,고래사냥,6.4
1984,상하이 블루스,7.2
1984,연분,5.7
1984,신용쌍향포 - 폭소 쌍발탄,6.5
1984,마음의 고향,7.4
1984,"소년, 소녀를 만나다",6.9
1984,카르멘,7.4
1985,소림속가제자,6.3
1985,빽 투 더 퓨쳐,8.5
1985,용적심,6.3
1985,카이로의 붉은 장미,7.7
1985,폴리스 스토리,7.5
1985,타공황제,6.4
1985,은하철도의 밤,7
1985,개심귀 2,5.8
1985,세일즈맨의 죽음,7.2
1985,위니종정,5.7
1985,깊고 푸른 밤,6.1
1985,타이페이 스토리,7.6
1985,귀여운 반항아,6.9
1985,법외정,7.1
1985,방랑자,7.7
1985,구애대작전,6.5
1985,정봉적수,6.7
1986,공처 2인방,5.6
1986,지하정,6.6
1986,벽력대나팔,5.9
1986,나쁜 피,7.2
1986,살의의 아침,5.9
1986,희생,7.9
1986,치심적아,6.4
1986,마농의 샘 1부,8.1
1986,모나리자,7.3
1986,모모,6.5
1986,북두의 권: 세기말 구세주 전설,7.1
1986,특명 어벤저,5.6
1986,은행털이와 아빠와 나,7
1986,집법선봉,7.1
1986,에프 엑스,6.7
1986,쿼터메인,4.5
1986,기연출사,5.3
1986,전로정전,7.4
1986,호소자,6.4
1986,용재강호,6
1986,부귀열차,7
1986,황진이,5.1
1986,몽중인,6.2
1986,예스마담 2: 황가전사,6.9
1986,마비취,6
1986,의개운천,5.9
1986,용형호제,6.9
1986,후지어,7.4
1986,개심귀 3 - 개심귀당귀,6.2
1986,하이랜더,7
1986,탑건,6.9
1986,한나와 그 자매들,7.8
1986,썸씽 와일드,6.9
1986,전망 좋은 방,7.2
1986,탈보계상계,5.9
1986,도마단,7.3
1986,황가반,6.4
1986,플래툰,8.1
1986,맨헌터,7.2
1986,영웅본색,7.4
1986,쓰리 아미고,6.5
1986,스탠 바이 미,8.1
1987,셜록 홈즈의 귀환 : 네 사람의 서명,7.9
1987,음양의 결투 - 맹귀차관,6.1
1987,감옥풍운,7.3
1987,하우스 2,5.4
1987,인지구,7.3
1987,강호정 2: 영웅호한,6.4
1987,최후승리,6.6
1987,프로젝트 A 2: A계획 속집,7
1987,주윤발의 미녀사냥,6.1
1987,미남자,6.4
1987,안녕하세요 하나님,5.8
1987,가을 날의 동화,7.6
1987,일옥양처,5.8
1987,금연자,5.7
1987,마님,7.2
1987,8월의 고래,7.1
1987,강호정,6.2
1987,소련 KGB,6.5
1987,횡재삼천만,5.9
1987,로보캅,7.6
1987,바그다드 카페,7.4
1987,예스마담 3: 중화전사,6.5
1987,모리스,7.6
1987,바베트의 만찬,7.8
1987,은행풍운,7
1987,최후태감,6.5
1987,Scared Stiff,4.8
1987,강호용호문,6.2
1987,동방독응,7.1
1987,더티 댄싱,7
1987,엔젤 하트,7.2
1987,위슬리전기,6.1
1987,용호상조,5.7
1987,죽는 자를 위한 기도,6.2
1987,신기량여협,6.2
1987,귀신랑,6
1987,베를린 천사의 시,7.9
1987,정복자 펠레,7.8
1987,굿바이 칠드런,8
1987,예스마담: 통천대도,5.1
1987,아쿠아리스,6.6
1988,쌍비림문,6.4
1988,양리칭의 예스마담: 자웅대도,6.5
1988,엽응계획,5.8
1988,유덕화의 군용탈보,6.7
1988,삼인세계,6.2
1988,과부신랑,6.2
1988,화중선,5.9
1988,팔성보희,6.3
1988,장단각지연,5.9
1988,시티 워,6.3
1988,대호출격,6.9
1988,극도추종,7.1
1988,폭소무적,5.9
1988,특경도룡,6.7
1988,천라지망,6
1988,공자다정,6.1
1988,최가손우,6
1988,흑심귀,5.8
1988,배트 21,6.4
1988,철갑무적 마리아,6
1988,비틀쥬스,7.5
1988,가면 속의 아리아,7.1
1988,말괄량이 삐삐,5.9
1988,살인에 관한 짧은 필름,7.8
1988,사랑에 관한 짧은 필름,8.1
1988,최후의 카운트다운,7
1988,터커,6.9
1988,베어,7.7
1988,용의 가족,6
1988,신경쇠약 직전의 여자,7.5
1988,트윈스,6.1
1988,허공에의 질주,7.6
1988,레인 맨,8
1988,아키라,8
1988,시네마 천국,8.5
1988,사탄의 인형,6.7
1988,외계인 삐에로,6.2
1988,셜록홈즈의 바스커빌가의 개,8
1988,데드 히트,6.1
1988,레드 스콜피온,5.2
1988,주성치의 벽력선봉,6.2
1988,칠수와 만수,6.8
1988,귀여운 여도적,6.9
1988,공작왕,6
1988,썸머 스토리,7.3
1988,땡큐 마담,5.9
1989,우견아랑,7.2
1989,애인동지,6.2
1989,사저출마,6
1989,강시선생: 일미도인,6.1
1989,흑사회,5.9
1989,사이보그,5
1989,재기풍운,5.2
1989,코끼리왕 바바,6.3
1989,해리가 샐리를 만났을 때,7.7
1989,드라이빙 미스 데이지,7.3
1989,성룡의 미라클,6.9
1989,사랑의 행로,6.9
1989,레닌그라드 카우보이 미국에 가다,7
1989,도신: 정전자,7.2
1989,살가영웅: 침저악,5.3
1989,헨리 5세,7.5
1989,묘탐쌍웅,5.3
1989,급동기협,6.6
1989,예스마담 4: 직격증인,7.1
1989,하드카바,5.9
1989,지존무상,6.7
1989,로메로,7.1
1989,달콤한 신부들,7
1989,살수호접몽,6.9
1989,7인의 협객,6.2
1989,영원한 사랑,5.5
1989,트라이엄프,6.8
1989,단신귀족,5.5
1990,쌍용쟁패 - 용봉가족,5.6
1990,영심이,7.2
1990,다크 엔젤,6.1
1990,햄릿,6.7
1990,돈가방을 든 수녀,6
1990,천장지구,7.3
1990,주윤발의 행운의 별,6.1
1990,블루 스틸,5.8
1990,사랑의 기적,7.8
1990,비 오는 날 수채화,5.7
1990,시라노,7.5
1990,심야의 공포,6.5
1990,엑소시스트 3,6.5
1990,도성,6.8
1990,도협,6.8
1990,폭력교실 1999,5.9
1990,삼인신세계,6.2
1990,성전풍운,6.1
1990,파리 대왕,6.4
1990,파업전야,6.5
1990,닌자 거북이,6.8
1990,애재별향적계절,7
1990,지존소자,5.7
1990,중년의 위기,6.6
1990,아비정전,7.4
1990,무적행운성,6.2
1990,이탈자,6.2
1990,노호광,6.9
1990,빈센트,6.9
1990,황가여장,6.7
1990,매니악 캅 2: 코델,5.9
1990,풍우동로,6.2
1990,성전강호,6.5
1990,사랑한다면 이들처럼,7.2
1990,뱃 인플루언스,6.3
1990,북경 예스 마담,6.7
1990,의혈남아,5.6
1990,욕망의 낮과 밤,7
1990,망부성룡,6.1
1990,장만옥의 객도추한,7.4
1990,소오강호,6.8
1990,지존계상,5.6
1990,성냥공장 소녀,7.5
1990,물위를 걷는 여자,5
1990,대부 3,7.6
1990,부귀병단,6
1990,첩혈가두,7.5
1991,천왕,5.1
1991,마네킨 2,4.4
1991,오호장,6.1
1991,솔로몬의 딸,6.4
1991,용형호제 2: 비룡계획,6.8
1991,반 고흐,7.1
1991,홍등,8.1
1991,도학위룡,7.1
1991,쇼팽의 푸른 노트,6.3
1991,고령가 소년 살인 사건,8.2
1991,일촉즉발,6.2
1991,도성타왕,6.4
1991,로젠크란츠와 길덴스턴은 죽었다,7.3
1991,신격대도,6.5
1991,천지현문,5.7
1991,수잔 브링크의 아리랑,5.8
1991,마이 걸,6.9
1991,후라이드 그린 토마토,7.7
1991,스톤 콜드,6.1
1991,천약유정,5.5
1991,누드 모델,7.4
1991,카프카,6.8
1991,개벽,7
1991,영웅무상,5.7
1991,기왕,7
1991,홍금보의 맹귀입침흑사회,5.7
1991,K2,6.2
1991,후크,6.8
1991,파호,7.2
1991,성시연가,5.6
1991,JFK,8
1991,낭트의 자코,7.7
1991,노화위룡,6
1991,정고전가,7
1991,세상의 모든 아침,7.5
1991,써스피션,6.4
1991,엑설런트 어드벤쳐 2,6.3
1991,신탐마여룡,5.5
1991,시한폭탄,5.4
1991,하일군재래,6.5
1991,황비홍: 천하무인,7.2
1991,여락,7
1991,산산이 부서진 이름이여,7.8
1991,냉혈저격수,5.6
1991,여룡공무,6.8
1992,쌍룡회,6.4
1992,그리고 삶은 계속된다,7.9
1992,하몽 하몽,6.4
1992,신용문객잔,7.2
1992,녹정기,7.1
1992,92 흑장미 대 흑장미,6.6
1992,가자왕: 전갈신권,6.9
1992,천국의 계단,6.9
1992,시티 오브 조이,6.5
1992,드라큐라,7.4
1992,묘가십이소,5.5
1992,용행천하,5.7
1992,독고구검,5.2
1992,금지된 사랑,7.6
1992,도학영웅전,5.3
1992,원초적 본능,7
1992,미스터 맘마,6
1992,전신,6.4
1992,화영웅,5.1
1992,어 퓨 굿 맨,7.7
1992,터미널 지하다방,5.6
1992,위험정인,5.5
1992,가변차선,5.6
1992,절대쌍교,5.8
1992,용등사해,5.9
1992,아래층 여자와 윗층 남자,3.4
1992,그대 안의 블루,5.7
1992,백치 애인,5.5
1992,주성치의 가유희사,7.2
1992,마음의 심연,7.4
1992,흐르는 강물처럼,7.2
1992,크라잉 게임,7.2
1992,치정쾌서,5.9
1992,글렌게리 글렌 로스,7.7
1992,무장원 소걸아,6.8
1992,카인의 두 얼굴,6.1
1992,배드 캅,7
1992,1492 콜럼버스,6.4
1992,하워즈 엔드,7.4
1992,귀주 이야기,7.6
1993,스트리트 파이팅,5.9
1993,Slaughter of the Innocents,5.1
1993,검은 모자,5.9
1993,의천도룡기,6.4
1993,그린 파파야 향기,7.3
1993,짱구는 못말려 극장판: 액션가면 VS 그래그래 마왕,6.6
1993,중안조,6.7
1993,셜록홈즈의 마지막 흡혈귀,6.4
1993,적각비협,6.4
1993,흑표천하,5.3
1993,황비홍: 철계투오공,6.6
1993,셜록홈즈의 일등 신랑감,6
1993,대소비도,6
1993,백발마녀전 2: 천하무적,5.8
1993,파시,5.5
1993,철마류,7.5
1993,카드로 만든 집,6.1
1993,동방삼협,6.5
1993,신유성호접검,5.9
1993,동성서취,7
1993,101번째 프로포즈,6.6
1993,무정의 제3 부두,7.1
1993,대명,6.1
1993,위치보드 2,5
1993,수호전지영웅본색,6.3
1993,사랑의 블랙홀,8
1993,길버트 그레이프,7.7
1993,선학신침,6.3
1993,시애틀의 잠 못 이루는 밤,6.8
1993,변성낭자,6
1993,마등출영,5.6
1993,쉰들러 리스트,9
1993,맨하탄 미스테리,7.3
1993,레이닝 스톤,7.3
1993,순수의 시대,7.2
1993,베니와 준,7.1
1993,세 가지 색: 블루,7.9
1993,사선에서,7.2
1993,욕망을 파는 집,6.2
1993,필라델피아,7.7
1994,천룡팔부,5.9
1994,프레임 속의 기억들,5.9
1994,쉘로우 그레이브,7.3
1994,인생,8.3
1994,온리 유,6.5
1994,리스본 스토리,7.1
1994,천여지,6.1
1994,블랙 뷰티,6.6
1994,에이스 벤츄라,6.9
1994,스타게이트,7
1994,구품지마관,7.5
1994,비각칠 2,5.7
1994,007 북경특급,7.1
1994,포레스트 검프,8.8
1994,유민장원,5.8
1994,블루 스카이,6.4
1994,지리멸렬,5
1994,중경삼림,8
1994,여왕 마고,7.4
1994,소림오조,6.3
1994,햇빛 쏟아지던 날들,8.1
1994,불멸의 연인,7.4
1994,두 여자 이야기,5
1994,론 이니쉬의 비밀,7.4
1994,취권 3,5.1
1994,엑조티카,7
1994,화소홍련사,7
1994,육지금마,6.3
1994,작은 아씨들,7.3
1994,신영웅본색,5.8
1995,쇼걸,5
1995,공각기동대,8
1995,이연걸의 영웅,6.5
1995,이연걸의 탈출,6.1
1995,영원한 제국,6.2
1995,비포 선라이즈,8.1
1995,러브레터,7.4
1995,도라에몽: 2112년 도라에몽 탄생,6.7
1995,쥬만지,7.1
1995,산수유상봉,6.7
1995,넬리 앤 아르노,7.2
1995,Secret Liaisons,8
1995,열화전차,6.5
1995,타락천사,7.6
1995,홍콩 마스크,6.2
1995,류망의생,6.8
1995,서유기: 월광보합,7.5
1995,도망자,6
1995,프렌치 키스,6.6
1995,센스 앤 센서빌리티,7.7
1995,가메라: 대괴수 공중결전,6.7
1995,굿바이 마이 프랜드,7.7
1995,Nostalgia for the Countryside,7.4
1995,콩고,5.3
1995,데드 맨 워킹,7.5
1995,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",7
1995,플루크,6.6
1995,비밀의 꽃,7
1995,환상의 빛,7.5
1995,금옥만당,6.7
1995,야반가성,6.6
1995,잃어버린 아이들의 도시,7.5
1995,지붕 위의 기병,7
1996,보스,5.7
1996,호도문,7
1996,아름다운 비행,6.9
1996,엠마,6.6
1996,아기공룡 둘리: 얼음별 대모험,7.5
1996,마이크로코스모스,7.9
1996,스턴트 우먼,6.1
1996,키즈 리턴,7.4
1996,귀천도,3.9
1996,닌자보이 란타로 : 삼총사의 대모험,7
1996,인형의 집으로 오세요,7.4
1996,모험왕,5.7
1996,미션 임파서블,7.2
1996,제리 맥과이어,7.3
1996,첨밀밀,8.1
1996,마빈스 룸,6.7
1996,낭만풍폭,6
1996,가베,6.9
1996,포에버 모차르트,6.1
1996,쉘 위 댄스,7.7
1996,위선적 영웅,7.2
1996,로미오와 줄리엣,6.7
1996,어라이벌,6.2
1996,빅 나이트,7.3
1996,금지옥엽 2,6.4
1996,비포 앤 애프터,6.1
1996,고혹자 3 - 척수차천,6.5
1996,뽀네뜨,7.5
1996,상해탄,6.6
1996,흑협,6.1
1997,미미와 다다의 미술탐험대,5.6
1997,큐어,7.5
1997,아나콘다,4.9
1997,구연기,6.1
1997,천녀유혼,6.5
1997,스폰,5.2
1997,가타카,7.7
1997,블랙잭,5.5
1997,용성정월,7.2
1997,표류일기,7.5
1997,노킹 온 헤븐스 도어,7.8
1997,플레잉 갓,5.6
1997,체리 향기,7.7
1997,마지막 방위,6.2
1997,굿 윌 헌팅,8.3
1997,나의 장미빛 인생,7.5
1997,마녀의 사랑법,5.1
1997,첫사랑,6.8
1997,박대박,6.9
1997,탱고 레슨,6.7
1997,댈러웨이 부인,6.5
1997,천국의 아이들,8.3
1997,맨 인 블랙,7.3
1997,마영정,6.3
1997,콘택트,7.5
1997,쿤둔,7
1997,안나 카레니나,6.2
1997,오인자제,6.2
1997,남해십삼랑,8.1
1997,이보다 더 좋을 순 없다,7.7
1997,The Odyssey,5.2
1997,산사초,6.2
1997,편지,6.9
1997,이완 맥그리거의 인질,6.3
1997,정연,5.6
1997,내 남자친구의 결혼식,6.3
1997,송가황조,7
1997,접속,6.8
1997,지. 아이. 제인,6
1997,인생은 아름다워,8.6
1997,로리타,6.8
1997,황비홍: 서역웅사,6.3
1997,미믹,6
1997,음양로 2 - 아재니좌우,5.3
1997,가방 속의 여덟 머리,5.4
1997,영웅신탐,6.7
1997,티벳에서의 7년,7.1
1998,인어할머니와 선장,5.6
1998,용재강호 : 테러리스트,6.3
1998,환영특공,5.5
1998,암화,7.2
1998,이연걸의 히트맨,6.1
1998,조문탁의 벽혈남천,5.3
1998,미술관 옆 동물원,7
1998,학교 다녀왔습니다,5.6
1998,스텝맘,6.8
1998,레 미제라블,7.4
1998,은하철도 999: 이터널 판타지,6.2
1998,마스크 오브 조로,6.8
1998,나데시코 더 무비: 더 프린스 오브 다크니스,6.6
1998,영원과 하루,7.9
1998,햄버거 힐 2,7
1998,어플릭션,6.9
1998,로닌,7.2
1998,사랑이 다시 올 때,6
1998,기막힌 사내들,6.1
1998,아이언 마스크,6.5
1998,키리쿠와 마녀,7.5
1998,푸줏간 소년,7.1
1998,정사,6.9
1998,네고시에이터,7.3
1998,링,7.2
1998,리전에어,5.5
1998,라이언 일병 구하기,8.6
1998,해가 서쪽에서 뜬다면,5.8
1998,플래닝 하트,7
1998,러브 오브 시베리아,7.7
1998,럭키 가이,6.1
1998,찜,5
1998,8월의 크리스마스,7.6
1998,트루먼 쇼,8.2
1998,고혹자 - 신고혹자소년격투편,6.1
1998,포켓몬스터 극장판 - 뮤츠의 역습,6.2
1998,남자의 향기,4.1
1998,조 블랙의 사랑,7.2
1998,친니친니,6.4
1999,스튜어트 리틀,6
1999,뒤죽박죽,7.4
1999,디지몬 어드벤처: 운명적 만남,7.2
1999,매트릭스,8.7
1999,13층,7
1999,바이센테니얼 맨,6.9
1999,스트레이트 스토리,8
1999,영원한 사랑,5.9
1999,노팅 힐,7.2
1999,아이언 자이언트,8.1
1999,나인스 게이트,6.7
1999,처음 만나는 자유,7.3
1999,오디션,7.1
1999,아스테릭스,6
1999,성원,7.2
1999,젠 엑스 캅,5.9
1999,빅 샷,5.9
1999,러브,5.9
1999,천왕지왕 2000,5.9
1999,엄마 찾아 삼만리,7.1
1999,그레이 올,6
1999,퍼플 스톰,6.2
1999,흑마왕자,5.6
1999,산전수전,5.5
1999,마요네즈,5.8
1999,암전,7.3
1999,아이 오브 비홀더,5
1999,성룡의 빅 타임,6
1999,내 어머니의 모든 것,7.8
1999,책상서랍 속의 동화,7.7
1999,송어,6.3
1999,중화영웅,5.7
